obswl	obswlerror	flux	fluxerror
1.6526	0.0032	0.0002568	0.0000546
1.8460	0.0013	0.0002695	0.0000381
1.9245	0.0012	0.0009923	0.0000555
4.8982	0.0017	0.0001694	0.0000182
5.1401	0.0046	0.0000326	0.0000112
5.2223	0.0008	0.0000788	0.0000169
5.4037	0.0140	0.0000171	0.0000096
6.4051	0.0019	0.0002150	0.0000139
6.6871	0.0085	0.0000601	0.0000105
6.8593	0.0126	0.0000201	0.0000000
6.8873	0.0032	0.0001018	0.0000112
6.9157	0.0075	0.0000500	0.0000000
7.2811	0.0000	0.0000267	0.0000095
8.7083	0.0078	0.0001036	0.0000137
1.6528	0.0033	0.0002433	0.0000531
1.8460	0.0012	0.0002811	0.0000372
1.9179	0.0010	0.0006273	0.0000519
1.9339	0.0011	0.0005254	0.0000486
4.8982	0.0017	0.0001694	0.0000182
5.1401	0.0046	0.0000326	0.0000112
5.2223	0.0008	0.0000788	0.0000169
5.4037	0.0140	0.0000171	0.0000096
6.4051	0.0022	0.0002150	0.0000148
6.6871	0.0092	0.0000601	0.0000115
6.8531	0.0173	0.0000201	0.0000000
6.8873	0.0048	0.0001018	0.0000100
6.9105	0.0000	0.0000500	0.0000000
7.2800	0.0000	0.0000267	0.0000103
8.7083	0.0078	0.0001036	0.0000137
1.6471	0.0023	0.0002621	0.0000513
1.8454	0.0017	0.0002236	0.0000358
1.9200	0.0001	0.0008078	0.0000490
4.9006	0.0026	0.0001419	0.0000190
5.0523	0.0086	0.0000285	0.0000092
5.2223	0.0012	0.0000720	0.0000173
5.4088	0.0089	0.0000337	0.0000160
6.3982	0.0019	0.0002371	0.0000140
6.6903	0.0046	0.0000673	0.0000112
6.8506	0.0152	0.0000200	0.0000018
6.8890	0.0031	0.0001156	0.0000109
6.9697	0.0000	0.0000646	0.0000102
7.3313	0.0000	0.0000374	0.0000097
8.7115	0.0075	0.0001228	0.0000148
1.6491	0.0020	0.0002744	0.0000535
1.8423	0.0013	0.0002909	0.0000377
1.9200	0.0001	0.0006943	0.0000456
4.8959	0.0029	0.0001631	0.0000201
5.0602	0.0132	0.0000250	0.0000062
5.2220	0.0000	0.0001404	0.0000207
5.4199	0.0000	0.0000162	0.0000000
6.3993	0.0013	0.0001995	0.0000129
6.6745	0.0034	0.0000554	0.0000067
6.8593	0.0017	0.0000200	0.0000022
6.8870	0.0027	0.0000905	0.0000099
6.9697	0.0005	0.0000505	0.0000044
7.3313	0.0015	0.0000296	0.0000087
8.7120	0.0066	0.0000699	0.0000114
1.6553	0.0017	0.0002381	0.0000501
1.8466	0.0023	0.0002090	0.0000336
1.9216	0.0008	0.0008512	0.0000496
4.9015	0.0030	0.0001524	0.0000213
5.0303	0.0076	0.0000250	0.0000039
5.2178	0.0047	0.0001034	0.0000182
5.3859	0.0078	0.0000643	0.0000169
6.3972	0.0015	0.0002337	0.0000139
6.6978	0.0051	0.0000670	0.0000106
6.8700	0.0058	0.0000557	0.0000095
6.9296	0.0008	0.0000750	0.0000000
6.9987	0.0077	0.0000500	0.0000013
7.3330	0.0077	0.0000376	0.0000096
8.7090	0.0073	0.0000666	0.0000115
1.6438	0.0026	0.0001493	0.0000484
1.8430	0.0015	0.0003114	0.0000395
1.9197	0.0011	0.0007874	0.0000500
4.8898	0.0042	0.0002030	0.0000244
5.0372	0.0168	0.0000530	0.0000194
5.2131	0.0055	0.0002024	0.0000236
5.4014	0.0197	0.0000243	0.0000163
6.3968	0.0025	0.0002391	0.0000148
6.6853	0.0084	0.0000743	0.0000116
6.9091	0.0000	0.0000391	0.0000113
6.8734	0.0026	0.0000969	0.0000116
6.9912	0.0068	0.0000649	0.0000109
7.3313	0.0000	0.0000619	0.0000112
8.7039	0.0065	0.0000742	0.0000117
