0.02269293,0.03091073,0.02440216,0.02454399,0.0247411,0.01855613,0.01083801,0.01262506,0.0121172,0.03365526,0.0338788,0.03418934,0.01736207,0.04727982,0.04755462,0.04793654,0.04396814
0.02308666,0.03144704,0.02482554,0.02496984,0.02517037,0.01887809,0.01216887,0.01417536,0.01360514,0.03423919,0.03446661,0.03478253,0.01766331,0.05311051,0.0534192,0.05384821,0.04939043
0.01715517,0.02336759,0.0184473,0.01855452,0.01870353,0.01402788,0.01199343,0.01397099,0.01340899,0.02544237,0.02561136,0.02584612,0.01312521,0.05238414,0.05268861,0.05311176,0.04871494
0.02097973,0.02857713,0.02255992,0.02269105,0.02287328,0.01715524,0.01109193,0.01292085,0.01240109,0.03111447,0.03132113,0.03160822,0.01605133,0.04845817,0.04873982,0.04913125,0.04506396
0.02755006,0.03752678,0.02962513,0.02979732,0.03003662,0.02252783,0.01208544,0.01407817,0.01351186,0.04085874,0.04113013,0.04150713,0.0210782,0.05296407,0.05327191,0.05369974,0.04925424
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Si14,Mg12,Si13r,Si13i,Si13f,S15,Ni27,Fe25 w,fe26w,mg11r,mg11i,mg11f,S16,Si13r,Si13i,Si13f,Si14
0.02269293\\,0.03091073\\,0.02440216\\,0.02454399\\,0.0247411\\,0.01855613\\,0.01083801\\,0.01262506\\,0.0121172\\,0.03365526\\,0.0338788\\,0.03418934\\,0.01736207\\,0.04727982\\,0.04755462\\,0.04793654\\,0.04396814\\
0.02308666\\,0.03144704\\,0.02482554\\,0.02496984\\,0.02517037\\,0.01887809\\,0.01216887\\,0.01417536\\,0.01360514\\,0.03423919\\,0.03446661\\,0.03478253\\,0.01766331\\,0.05311051\\,0.0534192\\,0.05384821\\,0.04939043\\
0.01715517\\,0.02336759\\,0.0184473\\,0.01855452\\,0.01870353\\,0.01402788\\,0.01199343\\,0.01397099\\,0.01340899\\,0.02544237\\,0.02561136\\,0.02584612\\,0.01312521\\,0.05238414\\,0.05268861\\,0.05311176\\,0.04871494\\
0.02097973\\,0.02857713\\,0.02255992\\,0.02269105\\,0.02287328\\,0.01715524\\,0.01109193\\,0.01292085\\,0.01240109\\,0.03111447\\,0.03132113\\,0.03160822\\,0.01605133\\,0.04845817\\,0.04873982\\,0.04913125\\,0.04506396\\
0.02755006\\,0.03752678\\,0.02962513\\,0.02979732\\,0.03003662\\,0.02252783\\,0.01208544\\,0.01407817\\,0.01351186\\,0.04085874\\,0.04113013\\,0.04150713\\,0.0210782\\,0.05296407\\,0.05327191\\,0.05369974\\,0.04925424\\
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.02269293\\,0.03091073\\,0.02440216\\,0.02454399\\,0.0247411\\,0.01855613\\,0.01083801\\,0.01262506\\,0.0121172\\,0.03365526\\,0.0338788\\,0.03418934\\,0.01736207\\,0.04727982\\,0.04755462\\,0.04793654\\,0.04396814\\
0.02308666\\,0.03144704\\,0.02482554\\,0.02496984\\,0.02517037\\,0.01887809\\,0.01216887\\,0.01417536\\,0.01360514\\,0.03423919\\,0.03446661\\,0.03478253\\,0.01766331\\,0.05311051\\,0.0534192\\,0.05384821\\,0.04939043\\
0.01715517\\,0.02336759\\,0.0184473\\,0.01855452\\,0.01870353\\,0.01402788\\,0.01199343\\,0.01397099\\,0.01340899\\,0.02544237\\,0.02561136\\,0.02584612\\,0.01312521\\,0.05238414\\,0.05268861\\,0.05311176\\,0.04871494\\
0.02097973\\,0.02857713\\,0.02255992\\,0.02269105\\,0.02287328\\,0.01715524\\,0.01109193\\,0.01292085\\,0.01240109\\,0.03111447\\,0.03132113\\,0.03160822\\,0.01605133\\,0.04845817\\,0.04873982\\,0.04913125\\,0.04506396\\
0.02755006\\,0.03752678\\,0.02962513\\,0.02979732\\,0.03003662\\,0.02252783\\,0.01208544\\,0.01407817\\,0.01351186\\,0.04085874\\,0.04113013\\,0.04150713\\,0.0210782\\,0.05296407\\,0.05327191\\,0.05369974\\,0.04925424\\
