wabs(1) * (xaped(1) + xaped(2))
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     0         3.262625           0      100000  10^22
  2  xaped(1).norm1          0     1             0.05           0           0  
  3  xaped(1).norm2          0     1             0.05           0           0  
  4  xaped(1).norm3          0     1             0.05           0           0  
  5  xaped(1).norm4          0     1             0.05           0           0  
  6  xaped(1).temperature1   0     1          6300000           0           0  
  7  xaped(1).temperature2   0     1         1.26e+07           0           0  
  8  xaped(1).temperature3   0     1         3.16e+07           0           0  
  9  xaped(1).temperature4   0     1         1.26e+08           0           0  
 10  xaped(1).density        0     1                1           0           0  
 11  xaped(1).vturb          0     1                0           0           0  
 12  xaped(1).redshift       0     1                0           0           0  
 13  xaped(1).metal_abund    0     1                1           0           0  
 14  xaped(1).abund_Ni       0     1                5           0           0  
 15  xaped(2).norm1          0     1             0.05           0           0  
 16  xaped(2).norm2          0     1             0.05           0           0  
 17  xaped(2).norm3          0     1             0.05           0           0  
 18  xaped(2).norm4          0     1             0.05           0           0  
 19  xaped(2).temperature1   0     1          6300000           0           0  
 20  xaped(2).temperature2   0     1         1.26e+07           0           0  
 21  xaped(2).temperature3   0     1         3.16e+07           0           0  
 22  xaped(2).temperature4   0     1         1.26e+08           0           0  
 23  xaped(2).density        0     1                1           0           0  
 24  xaped(2).vturb          0     1                0           0           0  
 25  xaped(2).redshift       0     1                0           0           0  
 26  xaped(2).metal_abund    0     1                1           0           0  
 27  xaped(2).abund_Ni       0     1                5           0           0  
