wabs(1) * (plaw_dem2(1) + plaw_dem2(2))
 idx  param                 tie-to  freeze         value         min         max
  1  wabs(1).nH                 0     0        0.9638701           0          10  10^22
  2  plaw_dem2(1).norm          0     0         0.019825      0.0001        0.07  
  3  plaw_dem2(1).gamma         0     0     1.572461e-06           0          20  
  4  plaw_dem2(1).LogTmin       0     1              6.5           6         8.5  
  5  plaw_dem2(1).LogTmax       0     1              8.5         6.1         8.5  
  6  plaw_dem2(1).density       0     1            1e+14           0           0  
  7  plaw_dem2(1).vturb         0     0         2287.034         500        4000  
  8  plaw_dem2(1).redshift      0     0           0.0072       -0.02        0.05  
  9  plaw_dem2(1).metal_abund   0     0         8.408898         0.1          15  
 10  plaw_dem2(1).abund_He      0     0                1           0          10  
 11  plaw_dem2(1).abund_C       0     0                1           0          10  
 12  plaw_dem2(1).abund_N       0     0                1           0          10  
 13  plaw_dem2(1).abund_O       0     0                1           0          10  
 14  plaw_dem2(1).abund_Ne      0     0                1           0          10  
 15  plaw_dem2(1).abund_Na      0     0                1           0          10  
 16  plaw_dem2(1).abund_Mg      0     0                1           0          10  
 17  plaw_dem2(1).abund_Al      0     0                1           0          10  
 18  plaw_dem2(1).abund_Si      0     0         1.643195           0          10  
 19  plaw_dem2(1).abund_S       0     0         2.191416           0          10  
 20  plaw_dem2(1).abund_Ar      0     0                1           0          10  
 21  plaw_dem2(1).abund_K       0     0                1           0          10  
 22  plaw_dem2(1).abund_Ca      0     0                1           0          10  
 23  plaw_dem2(1).abund_Fe      0     0                2           0         100  
 24  plaw_dem2(1).abund_Ni      0     0               12           0         100  
 25  plaw_dem2(2).norm          0     0       0.05609703           0          10  
 26  plaw_dem2(2).gamma         3     0             0.07      0.0001        0.07  
 27  plaw_dem2(2).LogTmin       0     1              6.5           6         8.5  
 28  plaw_dem2(2).LogTmax       0     1              8.5         6.1         8.5  
 29  plaw_dem2(2).density       6     1            1e+14           0           0  
 30  plaw_dem2(2).vturb         7     0         2287.034         500        4000  
 31  plaw_dem2(2).redshift      0     0       0.05105435       -0.02         0.1  
 32  plaw_dem2(2).metal_abund   9     0         8.408898         0.1          15  
 33  plaw_dem2(2).abund_He     10     0                1           0          10  
 34  plaw_dem2(2).abund_C      11     0                1           0          10  
 35  plaw_dem2(2).abund_N      12     0                1           0          10  
 36  plaw_dem2(2).abund_O      13     0                1           0          10  
 37  plaw_dem2(2).abund_Ne     14     0                1           0          10  
 38  plaw_dem2(2).abund_Na     15     0                1           0          10  
 39  plaw_dem2(2).abund_Mg     16     0                1           0          10  
 40  plaw_dem2(2).abund_Al     17     0                1           0          10  
 41  plaw_dem2(2).abund_Si     18     0              0.7           0          10  
 42  plaw_dem2(2).abund_S      19     0                1           0          10  
 43  plaw_dem2(2).abund_Ar     20     0                1           0          10  
 44  plaw_dem2(2).abund_K      21     0                1           0          10  
 45  plaw_dem2(2).abund_Ca     22     0                1           0          10  
 46  plaw_dem2(2).abund_Fe     23     0                2           0         100  
 47  plaw_dem2(2).abund_Ni     24     0               12           0         100  
