wabs(1) * (xaped(1))
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     1          0.41616           0          10  10^22
  2  xaped(1).norm1          0     0           0.0013       0.0001       0.05  
  3  xaped(1).norm2          0     0            0.002       0.0001     0.0025  
  4  xaped(1).norm3          0     0      1.00182e-05        1e-05      0.001  
  5  xaped(1).norm4          0     0        0.0221132        0.001       0.06  
  6  xaped(1).temperature1   0     1          6300000           0           0  
  7  xaped(1).temperature2   0     1         1.26e+07           0           0  
  8  xaped(1).temperature3   0     1         3.16e+07           0           0  
  9  xaped(1).temperature4   0     1         1.26e+08           0           0  
 10  xaped(1).density        0     1            1e+14           0           0  
 11  xaped(1).vturb          0     0         1327.432         500        4000  
 12  xaped(1).redshift       0     0      0.007645203       -0.02        0.02  
 13  xaped(1).metal_abund    0     0          4.30437         0.1          15  
 14  xaped(1).abund_Ni       0     0         31.58238         0.1         100  
