wabs(1) * (xaped(2))
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     1          0.41616           0          10  10^22
  2  xaped(2).norm1          0     0           0.0001      0.0001       0.001  
  3  xaped(2).norm2          0     0           0.0001      0.0001       0.001  
  4  xaped(2).norm3          0     0           0.0001       1e-05       0.003  
  5  xaped(2).norm4          0     0            0.035      0.001        0.04  
  6  xaped(2).temperature1   0     1          6300000           0           0  
  7  xaped(2).temperature2   0     1         1.26e+07           0           0  
  8  xaped(2).temperature3   0     1         3.16e+07           0           0  
  9  xaped(2).temperature4   0     1         1.26e+08           0           0  
 10  xaped(2).density        0     1            1e+14           0           0  
 11  xaped(2).vturb          0     0         4131.109        1000        5000  
 12  xaped(2).redshift       0     0       0.05015785       -0.01         0.2  
 13  xaped(2).metal_abund    0     0          4.30437         0.1          15  
 14  xaped(2).abund_Ni       0     0         31.58238         0.1         100  
