wabs(1) * xaped(1)
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     0         1.375155           0          10  10^22
  2  xaped(1).norm1          0     0      0.004331014      0.0001        0.05  
  3  xaped(1).norm2          0     0      0.002113561      0.0001        0.05  
  4  xaped(1).norm3          0     0     0.0002529958      0.0001        0.05  
  5  xaped(1).norm4          0     0       0.02099999      0.0001        0.05  
  6  xaped(1).temperature1   0     1          6300000           0           0  
  7  xaped(1).temperature2   0     1         1.26e+07           0           0  
  8  xaped(1).temperature3   0     1         3.16e+07           0           0  
  9  xaped(1).temperature4   0     1         1.26e+08           0           0  
 10  xaped(1).density        0     1            1e+14           0           0  
 11  xaped(1).vturb          0     0         3691.799         500        4000  
 12  xaped(1).redshift       0     0      0.007219456       -0.02        0.05  
 13  xaped(1).metal_abund    0     0          5.48447         0.1          15  
 14  xaped(1).abund_Ni       0     0          73.7001         0.1         100  
